,Strategy net,Strategy gross,Benchmark
Annual volatility,0.0054890584171216165,0.0054921868638645194,0.16406681766773612
CAGR,0.0004552669863788772,0.0009594464482687304,0.07124914335570787
Market beta,-0.0015218711096931339,-0.0015176434487043761,
Market correlation,-0.04548841183562257,-0.04533620890094996,
Max drawdown,-0.021151430440383256,-0.01958297818446819,-0.5624407734665133
Positive weeks,0.1908284023668639,0.1915680473372781,0.5658284023668639
Sharpe (rf=0),0.0856659089702585,0.17735582504458527,0.5024546212217613
Sortino,0.06748633357429921,0.13691272590704007,0.6527872634455922
Total return,0.011904549740737735,0.025247091397124555,4.986220069581805
Worst week,-0.007632011689334863,-0.007582011689334862,-0.18195464097595593
