,Strategy net,Strategy gross,Benchmark
Annual volatility,0.012407359959517432,0.01236611935794542,0.16406681766773612
CAGR,-7.007070559261752e-05,0.0037449985147575138,0.07124914335570787
Market beta,0.008148324481410008,0.007947442891265862,
Market correlation,0.10774811654944862,0.10544226737778321,
Max drawdown,-0.05731460651922238,-0.037162017054069296,-0.5624407734665133
Positive weeks,0.496301775147929,0.5103550295857988,0.5658284023668639
Sharpe (rf=0),0.0005529985511349411,0.3084681175523688,0.5024546212217613
Sortino,0.000779105201737016,0.4365105063944403,0.6527872634455922
Total return,-0.0018202435208223289,0.10206764217785991,4.986220069581805
Worst week,-0.013129981385128714,-0.012929981385128714,-0.18195464097595593
