trading_start,y,x,sector,group,distance,alpha,beta,mean,sigma,half_life,validation_mean_z,validation_std_ratio,validation_crossings,stability_score
1993-01-01,NEE UN Equity,CEG UN Equity,Utilities,all,0.0008101467969343444,-0.21142206003993638,0.9943160117897644,-1.6852616168669042e-15,0.024951701204072422,2.4990802020210423,0.4461900151822663,0.7964258290318835,11,0.12381129026536408
1993-01-01,CNP UN Equity,D UN Equity,Utilities,all,0.0009070216863933106,-0.13376513000099527,1.019480112900199,8.255504542084498e-17,0.028771665850644862,2.7017583682881723,0.8689675162153152,0.885785537631483,6,0.6902479307422007
1993-01-01,3054Q UN Equity,USW UN Equity,Communications,all,0.0012291758694824362,-0.75743024984593,1.1402340371757438,-3.3306690738754696e-16,0.03373718583673204,2.704046254741556,1.1572176332677289,0.7256179531833562,3,1.3279492712200853
1993-01-01,CVX UN Equity,677004Q UN Equity,Energy,all,0.0012317225470109224,0.1239544207014802,0.8030230643718714,-1.8589118848210955e-15,0.04011801753944393,6.302165438382627,-1.4655199404633887,1.0428295876344227,2,1.407457716397025
1993-01-01,IP UN Equity,896661Q UN Equity,Basic Materials,all,0.00160837864423131,-0.36254071060559095,1.0080175910019016,8.967185968126264e-16,0.03679684301279409,2.7310489393600847,-1.4714209270653464,0.8737685426956568,4,1.406360690755368
1993-01-01,PCG UN Equity,45200Q UN Equity,Utilities,all,0.001621799907949475,-0.07304869268123408,1.06575359839325,-2.50511861966702e-15,0.026930230417771116,2.4252421293247477,-1.0637894777217227,1.5660440903788173,7,1.1623422296697412
1993-01-01,EIX UN Equity,0961514D UN Equity,Utilities,all,0.0016309684408679131,0.2762417265736427,0.8648247552228583,-5.494180609042442e-16,0.042492491333833454,7.8913024379199666,-0.7418977077783244,1.3676026940325945,3,0.9049570564574588
1993-01-01,1719Q UN Equity,AEP UN Equity,Utilities,all,0.00177441078564917,0.6256646789281654,0.6456874750594769,1.938620204537773e-15,0.048243463661702686,9.683205079613678,-0.4603963845443227,1.5556673293789398,1,0.8523009888426907
1993-01-01,VZ UN Equity,693365Q UN Equity,Communications,all,0.0020642923927422815,-0.034747797125048295,0.9631043519372475,-3.0687703090920995e-15,0.04305681415401196,5.643055525699133,-0.6944100270655709,0.725680611211578,7,0.6650553174809035
1993-01-01,134618Q UN Equity,MMC UN Equity,Financial,all,0.0021011199669294916,1.678862399636972,1.1047618503786898,7.11681426041767e-16,0.05268936497175052,3.9762151561533257,-0.20010605356790576,1.5679883130617545,6,0.3498995220638518
1993-01-01,KRI UN Equity,TGNA UN Equity,Communications,all,0.002795300078553729,1.1912997512513994,0.8749806803613366,2.049642507000289e-15,0.05228784513303394,4.823243279531882,0.36751674965508785,1.0538149012421558,4,0.21993356883227116
1993-01-01,CBE UN Equity,ITW UN Equity,Industrial,all,0.002850918501027486,1.3967885443791719,0.8950465155782026,-6.917543461125975e-16,0.060402794101451905,4.172438420872811,-1.2476027174030373,1.3703010602756263,7,1.2126331851271357
1993-01-01,300583Q UN Equity,8375930Q UN Equity,Energy,all,0.002914928841916852,1.0040137745878117,0.9429127829878751,1.1529239101876626e-15,0.04693379794882624,4.131256900728604,-1.151824569548433,1.1045448068703108,8,0.8512578801638898
1993-01-01,HNZ UN Equity,HSY UN Equity,"Consumer, Non-cyclical",all,0.0029660116826402652,1.1830143624301943,0.8328678851491078,-7.259150545626023e-16,0.04735570925140998,3.3146918821396194,-0.06733999942323837,0.7174572380659401,13,-0.2506180689379695
1993-01-01,93916Q UN Equity,LLX UN Equity,Energy,all,0.0030826118632463185,-0.4776122905328634,0.9683741596488621,-5.807320436500819e-16,0.058172581222929585,4.426194131290954,-0.24063554293352055,1.450650510287921,3,0.46264762654741987
1993-01-01,WLA UN Equity,RAL UN Equity,"Consumer, Non-cyclical",all,0.0031358052166477876,0.33552937654648707,0.8779347950527073,-1.5087646232085461e-16,0.06185578588360723,5.308873807428413,0.3146574876716315,1.5195368188644316,5,0.4830630516605978
1993-01-01,1618Q US Equity,1649858D UQ Equity,Financial,all,0.003184729060919482,0.2825376708807249,0.9691499631185669,2.9036602182504095e-16,0.05450344504269815,2.7449112254704047,-0.9039017600764603,0.9056649977217044,6,0.7029875610826559
1993-01-01,2650Q UN Equity,1356Q UN Equity,Industrial,all,0.0031866197117503474,1.6001078659095254,0.8858989767583161,7.316085059709365e-16,0.05447874878124772,3.264337228091417,0.029968415943860446,1.7313883435277464,9,0.12889201332368344
1993-01-01,TOY UN Equity,987200Q UN Equity,"Consumer, Cyclical",all,0.003264144922452928,0.4801656974764174,1.0547892719153897,-2.2460665805878166e-15,0.06723624066156739,3.245471788676961,1.3930433127579367,1.143140013908454,6,1.2268221869262728
1993-01-01,571300Q UN Equity,210967Q UN Equity,Communications,all,0.003316396962517377,0.5009479443989082,0.804210490155828,-1.505917897504379e-15,0.04811287695674216,6.155971505924309,0.9653140389500235,0.4136643198643476,2,1.7480144945841625
1993-07-02,NEE UN Equity,CEG UN Equity,Utilities,all,0.0009767151027679788,0.12591263138864814,0.8803007341995143,-4.2131540421672605e-16,0.028778637724437933,3.9409572738158674,-1.0780297743315403,1.207784204869667,6,0.9668172195335079
1993-07-02,CNP UN Equity,D UN Equity,Utilities,all,0.0010210536557648622,0.27922633047237205,0.8737970367977806,-2.9605947323337506e-16,0.0354540199236966,6.380123957864138,-1.0090528037382211,1.4164450669114403,15,0.6072030624143974
1993-07-02,PCG UN Equity,UEP UN Equity,Utilities,all,0.001316472940478229,-0.3841794003354352,1.0690183644925222,-1.2440191327210087e-15,0.033112011544351456,3.5821082623624503,-0.549324722479549,1.05551342727579,7,0.2533520319514763
1993-07-02,3054Q UN Equity,USW UN Equity,Communications,all,0.001540966495042509,-0.7642635484215208,1.1447739416115668,-3.586874387250506e-16,0.0356915102290418,2.7270215337413277,1.371249155504764,0.8699956889425957,2,1.4105161780889444
1993-07-02,2500Q UN Equity,CVX UN Equity,Energy,all,0.0017125194430545455,1.12013027686909,0.7342274096885321,1.0390548820209799e-15,0.037397722316279094,4.460311709286015,-0.495266431927845,1.0194098410153267,12,-0.08550969546203946
1993-07-02,PEG UN Equity,TXU US Equity,Utilities,all,0.00199440525103956,-0.18708577799983567,0.9472283743044502,9.109522253334617e-16,0.03812483675679918,6.143798622504911,0.4624672963733448,1.6627797983080095,4,0.7709580754945466
1993-07-02,VZ UN Equity,BLS UN Equity,Communications,all,0.0020305318641516074,0.28013780985882486,1.0985773262483267,-9.394194823751325e-16,0.04740036497722348,6.241467548771403,0.5599046343242143,1.1015849960058022,1,0.6066546824802176
1993-07-02,CLX UN Equity,PG UN Equity,"Consumer, Non-cyclical",all,0.002232061882753756,0.30152875093321146,0.8460800035677745,1.9073062217919355e-16,0.05313220341756998,4.462975338641523,-0.048569515322577805,1.460640952682299,6,0.12744486339320948
1993-07-02,EIX UN Equity,DUK UN Equity,Utilities,all,0.0024943230884855827,0.7093793403645309,0.70124148567547,-7.088347003376e-16,0.041894074883580726,8.772366062149304,-0.5774005320584122,0.47551451185448995,2,1.2207584103736115
1993-07-02,IP UN Equity,896661Q UN Equity,Basic Materials,all,0.002495285794126325,-0.2064841308529426,0.9678550935434308,1.4916842689835437e-15,0.03489795992555631,3.079918607998329,-0.33678469623144613,0.7291169548448666,8,0.25270582418678134
1993-07-02,3891289Q UN Equity,RDPL UN Equity,Energy,all,0.0025614744301197955,1.3880906054860758,0.6887557636410936,1.4347497549002023e-15,0.047936413679134655,6.926271005918608,-1.0529606015024147,0.8098821225848601,7,0.9138271710812587
1993-07-02,SLB UN Equity,677004Q UN Equity,Energy,all,0.00299611522013232,-1.2061547896987301,1.1184946237727234,-1.5514655087710521e-15,0.05185445382781524,3.9407017786736778,0.01573003530174098,0.853574190823548,6,-0.1259471495665536
1993-07-02,XEL UN Equity,AEP UN Equity,Utilities,all,0.0032435087363601295,-1.7921657583392838,1.3846790203210266,-2.274533837629487e-15,0.04210728660401582,4.94495637842424,-0.6347549501201729,1.9476161088198312,8,0.9013610665254544
1993-07-02,1005945D US Equity,1719Q UN Equity,Utilities,all,0.0033124333244099564,0.5559043365577195,0.8503752131756321,-1.2867200182835147e-15,0.05268150447432578,7.440135870251773,0.825674709066517,0.8113947771443144,7,0.6846752741415956
1993-07-02,EMR UN Equity,611647Q UN Equity,Industrial,all,0.003591784081417963,-1.2968077749204274,1.1495666853524735,1.5713925887002215e-15,0.05953906316037948,3.694606111970338,0.9269591269492309,1.1350562106807527,6,0.75364130148514
1993-07-02,3393199Q UN Equity,2254Q UN Equity,"Consumer, Non-cyclical",all,0.003636191652308769,-1.2961555592055374,1.1112369216996414,1.5201515260252143e-15,0.07481367728892528,7.594594634460989,1.4736020955374263,1.8708153621043144,8,1.6999764538894033
1993-07-02,SWK UN Equity,ITW UN Equity,Industrial,all,0.003681069084277381,1.2383218656342134,0.8459332819002071,-9.67886739416803e-16,0.05939681907525357,3.16622092088155,-0.7802003759684819,1.0660058708880942,9,0.39411920909668213
1993-07-02,571300Q UN Equity,210967Q UN Equity,Communications,all,0.004062545085113412,-0.2686505259487828,1.0186770942825485,-3.5014726161254936e-16,0.04344001873582746,4.377391622692584,0.0729168444180054,0.4623074694837392,17,-0.00555806468552944
1993-07-02,HSH UN Equity,K UN Equity,"Consumer, Non-cyclical",all,0.0043532327835098545,-0.3027658929072039,1.0377757135832144,-5.693451408334136e-17,0.05392290292698135,3.9301486492739115,0.1529642158855073,1.3251095546645904,3,0.2844593546713899
1993-07-02,APD UN Equity,SHW UN Equity,Basic Materials,all,0.0044219229952431145,0.2295101504370151,1.025065744533505,-7.202216031542682e-16,0.06743281640200735,3.774693120283236,-0.5874676843873741,1.2334772803390461,7,0.4473049223473346
1993-12-31,UEP UN Equity,CEG UN Equity,Utilities,all,0.000695381689128957,0.4030386419749948,1.0201963212070324,7.002945232250987e-16,0.026352796226008123,3.4034412959762315,-0.6515213754101276,1.0334644427605193,6,0.3844380702753456
1993-12-31,PCG UN Equity,XEL UN Equity,Utilities,all,0.0008134399857298366,0.3813732199682877,1.0104957776375676,-1.2383256813126745e-15,0.031229268706444307,4.184432714991369,0.5501000168383816,1.3121569607258314,8,0.42177233490418564
1993-12-31,3054Q UN Equity,USW UN Equity,Communications,all,0.0009495207207988697,-0.369338549173718,1.0180882432001175,-1.1586173615959967e-15,0.03499906890245082,3.195464707309322,0.23753620071520376,1.3873026081857913,7,0.21489749286251997
1993-12-31,210967Q UN Equity,571300Q UN Equity,Communications,all,0.0009691629232564885,0.38106230781147665,0.9444414846969076,1.7393494052460785e-15,0.03374540290031224,3.644784230409823,0.4003855074197475,1.3659615062649644,5,0.46224408827740837
1993-12-31,D UN Equity,1005945D US Equity,Utilities,all,0.0013934146302279021,-0.432543592827934,1.1083404320472612,-2.6474549048753733e-16,0.04611253016746479,6.601829257422802,0.31088484776014724,1.6739229547201768,1,0.776054794108871
1993-12-31,45200Q UN Equity,ED UN Equity,Utilities,all,0.0014020822582937974,0.24339715176445112,0.9073829164110058,1.2383256813126745e-15,0.031595296803256595,4.093852260186535,-0.5870974025795218,0.5864299639596642,3,0.9707994341370024
1993-12-31,TXU US Equity,0961514D UN Equity,Utilities,all,0.0014900966188364307,0.7770970981890808,0.6817369347402494,-5.095639010459051e-16,0.030561547330522115,4.4667694946016585,-1.0617699317163793,0.7966209790711475,8,0.8891462045318131
1993-12-31,EIX UN Equity,DTE UN Equity,Utilities,all,0.0015403383223811554,-0.45517046027031055,1.0199780552269357,1.4347497549002023e-15,0.03861512040630877,3.8463189789763,-0.0378415368835428,1.0134267127369523,6,-0.2488210898847985
1993-12-31,896661Q UN Equity,IP UN Equity,Basic Materials,all,0.0018267185171912327,0.43115638723964306,0.9704018991065382,6.148927521000867e-16,0.0355368313934391,3.1131099706126055,0.20752401018802447,0.7309403846459868,6,0.22094738589788698
1993-12-31,HSH UN Equity,3517233Q UN Equity,"Consumer, Non-cyclical",all,0.0019199971176154964,-0.09683085534815175,0.9894785382837457,2.9605947323337506e-16,0.05945063391173742,3.5515024676317335,0.9433084756443325,1.9034205647417242,6,1.286961040456492
1993-12-31,EMR UN Equity,ITW UN Equity,Industrial,all,0.0020953412568205537,0.7389224907431565,0.8692122765222446,1.6681812626419019e-15,0.04211896791141168,2.8183819787412836,0.2150186266837949,0.8163763776504843,8,0.017898409922887937
1993-12-31,UCL UN Equity,8375930Q UN Equity,Energy,all,0.002221781469901316,0.5665874857187629,0.8181506426361663,1.6511009084168995e-16,0.049322006539796626,2.999534985086228,-0.48418684286712604,1.4622866865836288,7,0.5141882770256445
1993-12-31,AA UN Equity,DOW UN Equity,Basic Materials,all,0.002357835701332444,0.6395057372094546,0.7938163611306263,-1.004894173570975e-15,0.04380870382582806,2.8219019890173946,-0.061508247966929545,0.8883381154695295,9,-0.2700889042360419
1993-12-31,SO UN Equity,ETR UN Equity,Utilities,all,0.00239112643033373,-1.0949128018091383,1.0160271401926655,3.102931017542104e-16,0.03406316820678574,3.8778080854503485,-0.4623210248227604,0.7280780474992204,9,0.32966805325126475
1993-12-31,FNMA UN Equity,3621240Q UN Equity,Financial,all,0.002458857321342869,-0.6418791959119868,1.0445966756281415,1.8219044506669234e-15,0.05464374318964361,3.5663872032334654,1.1679037588039043,1.0590344859647456,6,0.9252613895433306
1993-12-31,399463Q UN Equity,3277Q US Equity,Financial,all,0.002708588467390097,-0.7989646306763611,1.201183450291798,4.839433697084016e-17,0.04261727645746072,2.3316015922876043,0.7467297853307616,0.6075964539801273,6,0.9449741297173839
1993-12-31,XOM UN Equity,3891289Q UN Equity,Energy,all,0.0027158203011145294,0.885366151769656,0.5226911302784852,-1.708035422500241e-17,0.04252082272972055,9.705318974958226,0.6064730400429363,0.7696893487325238,3,0.7182413287869637
1993-12-31,JNJ UN Equity,3393199Q UN Equity,"Consumer, Non-cyclical",all,0.0032011632295634654,-0.25947617374011156,1.051473858342785,6.604403633667598e-16,0.05687859146659627,4.1471093185994965,-1.30434719348225,1.3906129066107602,9,1.1840917834471139
1993-12-31,1530Q UN Equity,1621582D UN Equity,Basic Materials,all,0.0032817472019743116,0.3931314188111151,0.64261943133156,5.408778837917429e-17,0.06018293952442754,4.876588655518673,0.6306273444503656,1.4451053845739672,9,0.5488095938564768
1993-12-31,DD UN Equity,1051665D UN Equity,Basic Materials,all,0.0035412640314510012,0.520584708746109,0.821696935162278,2.226139500658647e-15,0.06564081503764875,6.783973165074806,1.1831170334191645,1.1438055075522242,10,0.8174779010423598
1994-07-01,NMK UN Equity,45200Q UN Equity,Utilities,all,0.0011042826966717316,-0.27682822822928194,0.9736327201039867,8.597111626584546e-16,0.04049386439288504,5.387521723790572,1.129896687855131,1.3010743595678702,6,1.0930870414538425
1994-07-01,VZ UN Equity,USW UN Equity,Communications,all,0.0012563218303352501,-0.1464491159177558,1.0346200441459015,-1.374968515112694e-15,0.03174315265649323,2.3921352492881556,0.514737984646827,0.7931660561699462,13,0.09646066143158671
1994-07-01,DUK UN Equity,D UN Equity,Utilities,all,0.0014680075217711668,0.33435026414860936,1.0411001724405438,-4.298555813292273e-16,0.02700534847729716,3.695362320133721,0.5356535099447053,1.2607833051527744,8,0.3673867085070468
1994-07-01,GE UN Equity,DOV UN Equity,Industrial,all,0.0018793511968838242,0.3621564262862455,0.7781871494012778,1.1216099274418248e-15,0.05031506087950833,5.716356039175572,-0.8890112123552018,1.6503779543247787,1,1.3400155372638543
1994-07-01,TXU US Equity,CNP UN Equity,Utilities,all,0.001994793212844099,0.6359701286468622,0.8357469359278271,-1.5713925887002215e-15,0.05187023312683478,8.718682757231724,0.43550136102692505,1.5062879750129552,7,0.4951496905928035
1994-07-01,AA UN Equity,DOW UN Equity,Basic Materials,all,0.002173777458435438,1.1275605780755944,0.6241994494261436,1.2810265668751805e-16,0.04650252099786085,3.9316917224435235,-1.0643012961610065,1.252518745998493,11,0.7394578168909511
1994-07-01,PEG UN Equity,CEG UN Equity,Utilities,all,0.002404046533984086,-0.4799258497062894,1.01147010605175,-5.86425495058416e-16,0.039869510405617876,9.119976815690887,-0.20439062739845662,1.1037924167846433,3,0.1531425292990483
1994-07-01,LK UN Equity,RTN UN Equity,Industrial,all,0.002706261847239611,0.9114180999787623,0.9472291669095669,-7.088347003376e-16,0.04775682138246367,3.933014028459746,-1.1088794604930523,1.4349897744453959,4,1.2700371838572242
1994-07-01,1005945D US Equity,NEE UN Equity,Utilities,all,0.0027743040293758798,-0.9876720216068309,1.4062298524035444,-5.664984151292465e-16,0.04448716547753085,4.155497232712696,-0.3739179505373995,0.9484616901805468,8,0.02683183085942692
1994-07-01,XOM UN Equity,677004Q UN Equity,Energy,all,0.002836454093472746,-0.10574922892146235,0.8252898526740657,-7.856962943501108e-16,0.03413989374193306,5.265744731139919,0.33993326981806365,0.7168022006014398,13,0.022888617108701603
1994-07-01,FFB UN Equity,2638Q UN Equity,Financial,all,0.0031197105646498693,0.5839142778588898,1.0426837815714234,-4.526293869625638e-16,0.049372459582108744,2.589312935388921,0.29423659425850823,0.6518795521972645,6,0.42213206427353556
1994-07-01,SO UN Equity,EXC UN Equity,Utilities,all,0.0031738122342502987,-0.6696753766973769,1.1926365504695926,4.4124248414589556e-16,0.04893835423138359,4.996794346275749,0.48437115414557713,1.5772686653372754,9,0.4900658124462705
