,Strategy net,Strategy gross,Benchmark
Annual volatility,0.009748103072483017,0.00969930814420665,0.18288043790391112
CAGR,-0.007446757871047538,-0.0062455978451664285,0.02554248470110987
Market beta,0.005575415804489098,0.005493506310451586,
Market correlation,0.10459824606282442,0.10358005176723462,
Max drawdown,-0.10905182309665151,-0.09539797101365366,-0.6015088306562416
Positive weeks,0.33012379642365886,0.3342503438789546,0.5598349381017882
Sharpe (rf=0),-0.7618497071614223,-0.6410546069336334,0.23115153977721653
Sortino,-0.8068907211813546,-0.6754567564575935,0.2811201348730447
Total return,-0.09922608967834334,-0.08386549013415934,0.42278914272068513
Worst week,-0.008863411055838188,-0.008763411055838189,-0.21535401445893743
