,Strategy net,Strategy gross,Benchmark
Annual volatility,0.014830332230714671,0.014791323823938086,0.18288043790391112
CAGR,0.0020911070500186923,0.006113307813477631,0.02554248470110987
Market beta,0.008489775866790483,0.008304451078924918,
Market correlation,0.10469178330402648,0.10267651955584374,
Max drawdown,-0.03430073766421138,-0.025613953142174295,-0.6015088306562416
Positive weeks,0.49931224209078406,0.515818431911967,0.5598349381017882
Sharpe (rf=0),0.148259367532619,0.4194511467632967,0.23115153977721653
Sortino,0.23226290846145978,0.6642756108555187,0.2811201348730447
Total return,0.029635401648018034,0.08894415023788804,0.42278914272068513
Worst week,-0.0072987302819740914,-0.0072987302819740914,-0.21535401445893743
